T,Time,Hours,WT E-37 (A),WT E-37 (B),WT E-37 ©,Average (WT),13 (A),13 (B),13 ©,Average (13),25 (A),25 (B),25 ©,Average (25),Blank
T0,10/25/2015 18:10,0,0.009,0.007,0.015,0.010333333,0.011,0.018,0.008,0.012333333,0.004,0.013,0.012,0.009666667,-0.003
T1,10/26/2015 9:43,15.55,0.037,0.047,0.042,0.042,0.054,0.057,0.056,0.055666667,0.058,0.053,0.064,0.058333333,-0.002
T2,10/26/2015 11:39,17.48333333,0.043,0.039,0.059,0.047,0.069,0.068,0.068,0.068333333,0.073,0.073,0.082,0.076,-0.002
T3,10/26/2015 14:20,20.16666667,0.067,0.046,0.058,0.057,0.092,0.104,0.091,0.095666667,0.104,0.103,0.116,0.107666667,0.002
T4,10/26/2015 17:36,23.43333333,0.093,0.085,0.097,0.091666667,0.129,0.142,0.132,0.134333333,0.165,0.169,0.18,0.171333333,-0.003
T5,10/26/2015 20:25,26.25,0.12,0.113,0.117,0.116666667,0.151,0.169,0.164,0.161333333,0.189,0.201,0.21,0.2,0
T6,10/26/2015 23:25,29.25,0.216,0.181,0.179,0.192,0.197,0.195,0.196,0.196,0.273,0.269,0.295,0.279,-0.001
T7,10/27/2015 2:24,32.23333333,0.325,0.301,0.294,0.306666667,0.286,0.288,0.29,0.288,0.445,0.421,0.437,0.434333333,0.004
T8,10/27/2015 6:29,36.31666667,0.429,0.411,0.43,0.423333333,0.388,0.397,0.393,0.392666667,0.439,0.43,0.426,0.431666667,0.003
T9,10/27/2015 10:39,40.48333333,0.424,0.413,0.43,0.422333333,0.391,0.384,0.385,0.386666667,0.419,0.407,0.4,0.408666667,0.001
T10,10/27/2015 13:38,43.46666667,0.429,0.412,0.414,0.418333333,0.373,0.377,0.369,0.373,0.421,0.307,0.393,0.373666667,0.003
